model,parameter,estimate,std_error,ci95_low,ci95_high,rel_se_pct,species,design,tag
Eq. 4 as printed (4 rate parameters + N0),log10_N0,6.371739223673912,0.5797562034193575,5.235417064971971,7.508061382375853,9.098868975448639,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,0.0027770770625945573,0.0,0.0027770770625945573,0.0027770770625945573,0.0,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.18794001997741366,0.37411054246464276,-0.5453166432532861,0.9211966832081135,199.05847754491182,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),logit_f,-7.184247296252087,1.4646601156788208,-10.054981122982575,-4.313513469521598,20.387106056926964,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),t_c,1.0000000000000002,48.015640982796896,-93.11065632628191,95.11065632628191,4801.564098279689,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),log10_N0,6.441317701555136,0.0847037818553299,6.27529828911869,6.607337113991583,1.3150070494874013,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_fast,0.2168984367660417,0.01564198950171884,0.18624013734267278,0.24755673618941063,7.2116653927714225,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_slow,0.014028522664536268,0.0011895562176365076,0.011696992477968713,0.016360052851103823,8.479554448335989,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),logit_f,-5.4331114681317345,0.2635275101027703,-5.949625387933164,-4.916597548330305,4.850397633998638,Mtb,"sparse (8-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),log10_N0,6.070750781482804,0.34494266274131863,5.394663162509819,6.746838400455789,5.682042883286753,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,4.9956034852535565,6.788246106766291e-13,4.995603485252226,4.995603485254887,1.3588440569401492e-11,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.16785501229927288,0.042176492953250565,0.08518908611090177,0.250520938487644,25.12674025965519,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),logit_f,-6.42626494598955,0.8412755839547779,-8.075165090540914,-4.777364801438185,13.09120602753539,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),t_c,1.0000000000000002,6.675993670734814,-12.084947594640235,14.084947594640235,667.5993670734813,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),log10_N0,6.3477316626495535,0.14032953187420108,6.072685780176119,6.622777545122988,2.210703591960397,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_fast,0.2535068883662209,0.036385283435323254,0.18219173283298729,0.32482204389945446,14.352778999346313,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),k_slow,0.010815305607583377,0.001788679271396341,0.007309494235646549,0.014321116979520205,16.538407108368453,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),logit_f,-5.438099655182504,0.39233728223624614,-6.207080728365547,-4.669118581999461,7.214602657425541,Mtb,"dense (14-point, 240 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),log10_N0,5.486037499253497,0.4155240708898752,4.671610320309341,6.3004646781976525,7.574211276288521,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_fast,0.41438273865569214,0.14168682088019188,0.13667656973051606,0.6920889075808683,34.19225939281185,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),k_slow,0.5730211511867819,55.775467063913126,-108.74689429408295,109.89293659645651,9733.579109322016,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),logit_f,-7.906930037696056,1.6697856193716716,-11.179709851664532,-4.6341502237275805,21.118001694855245,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
Eq. 4 as printed (4 rate parameters + N0),t_c,12.000000061431745,1167.442632397878,-2276.187559438409,2300.187559561273,9728.688553511458,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
biexponential (3 rate parameters + N0),log10_N0,5.987848919191602,0.1648452567365631,5.664752215987938,6.310945622395265,2.752996258943993,S. aureus,"sparse (8-point, 48 h)",SYNTHETIC (no experimental data in project)
