species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
Mtb,two-compartment mechanistic,r,+10%,log10_drop_240h,3.247547494619534,3.246763012090586,-0.0007844825289482493,-0.024156152612023776,-0.0024156152612023756,False
Mtb,two-compartment mechanistic,r,+10%,time_to_LOD_h,379.50713925049206,379.6536547898724,0.14651553938034567,0.038606793977501094,0.0038606793977501064,False
Mtb,two-compartment mechanistic,r,+10%,MDK99_h,31.2698648908004,31.684275200792783,0.41441030999238393,1.3252705486242875,0.13252705486242863,False
Mtb,two-compartment mechanistic,r,-10%,log10_drop_240h,3.247547494619534,3.2483069160211553,0.0007594214016211076,0.023384458668558362,-0.002338445866855837,False
Mtb,two-compartment mechanistic,r,-10%,time_to_LOD_h,379.50713925049206,379.3653065663397,-0.14183268415234807,-0.03737286324374836,0.0037372863243748376,False
Mtb,two-compartment mechanistic,r,-10%,MDK99_h,31.2698648908004,30.849323678428874,-0.42054121237152486,-1.344876972894271,0.13448769728942714,False
Mtb,two-compartment mechanistic,Emax_S,+10%,log10_drop_240h,3.247547494619534,3.252651707609259,0.0051042129897247435,0.1571713115260452,0.015717131152604504,False
Mtb,two-compartment mechanistic,Emax_S,+10%,time_to_LOD_h,379.50713925049206,378.5539148790832,-0.9532243714088509,-0.25117429234438704,-0.02511742923443868,False
Mtb,two-compartment mechanistic,Emax_S,+10%,MDK99_h,31.2698648908004,28.38856169082221,-2.8813031999781877,-9.214312917693059,-0.921431291769305,False
Mtb,two-compartment mechanistic,Emax_S,-10%,log10_drop_240h,3.247547494619534,3.2410477667050057,-0.006499727914528464,-0.2001426592004296,0.020014265920042965,False
Mtb,two-compartment mechanistic,Emax_S,-10%,time_to_LOD_h,379.50713925049206,380.7211743359432,1.214035085451144,0.319897825334407,-0.03198978253344071,False
Mtb,two-compartment mechanistic,Emax_S,-10%,MDK99_h,31.2698648908004,34.83268297726772,3.562818086467324,11.39377512154044,-1.1393775121540441,False
Mtb,two-compartment mechanistic,Emax_P,+10%,log10_drop_240h,3.247547494619534,3.272760423994099,0.025212929374564652,0.7763683030452021,0.07763683030452014,False
